step,task_loss,bias_loss,total_loss,sps
0,23.49584197998047,0.1431884765625,23.52448272705078,
1,16.448673248291016,0.1324462890625,16.475162506103516,
2,20.77798843383789,0.15478515625,20.808948516845703,
3,15.608264923095703,0.1376953125,15.635807037353516,
4,13.440922737121582,0.135986328125,13.468113899230957,
5,11.622308731079102,0.138671875,11.650049209594727,
6,7.661892414093018,0.11883544921875,7.685665607452393,
7,5.45137357711792,0.140380859375,5.47944974899292,
8,3.06817626953125,0.1226806640625,3.09271240234375,
9,2.60872745513916,0.1217041015625,2.6330652236938477,
10,2.567711591720581,0.1395263671875,2.5956199169158936,
11,2.696385383605957,0.1337890625,2.723149299621582,
12,2.610125780105591,0.1334228515625,2.6368134021759033,
13,2.274104356765747,0.1422119140625,2.302546739578247,
14,2.1499125957489014,0.143310546875,2.1785686016082764,
15,2.256096363067627,0.1376953125,2.2836384773254395,
16,1.9207819700241089,0.1351318359375,1.9478052854537964,
17,2.1136441230773926,0.134765625,2.1405911445617676,
18,1.1801522970199585,0.132080078125,1.206565260887146,
19,1.8567225933074951,0.1365966796875,1.8840358257293701,
20,1.1881563663482666,0.1285400390625,1.213867425918579,
21,1.4629175662994385,0.1199951171875,1.486919641494751,
22,1.3481372594833374,0.1363525390625,1.375404715538025,
23,1.3995569944381714,0.1163330078125,1.4228266477584839,
24,1.498708724975586,0.125,1.523702621459961,
25,1.1584564447402954,0.128662109375,1.1841827630996704,
26,1.0789639949798584,0.11083984375,1.101135015487671,
27,1.367637038230896,0.11810302734375,1.391257643699646,
28,0.9355177283287048,0.11865234375,0.9592451453208923,
29,1.2680943012237549,0.12310791015625,1.2927219867706299,
30,1.4924352169036865,0.1319580078125,1.5188329219818115,
31,1.4181360006332397,0.12261962890625,1.4426568746566772,
32,1.1631250381469727,0.11962890625,1.1870508193969727,
33,1.1562594175338745,0.11328125,1.178918719291687,
34,1.0710700750350952,0.10870361328125,1.0928138494491577,
35,1.741967797279358,0.1182861328125,1.765618920326233,
36,0.597049355506897,0.1033935546875,0.6177250146865845,
37,1.2315170764923096,0.11676025390625,1.2548630237579346,
38,0.8214519023895264,0.11968994140625,0.8453929424285889,
39,1.0740129947662354,0.1092529296875,1.0958635807037354,
40,1.3623802661895752,0.11517333984375,1.3854210376739502,
41,1.1559605598449707,0.0946044921875,1.1748814582824707,
42,1.0277085304260254,0.1053466796875,1.048780918121338,
43,1.5615696907043457,0.10540771484375,1.5826573371887207,
44,1.0096813440322876,0.0999755859375,1.0296703577041626,
45,0.7142207026481628,0.11517333984375,0.7372614741325378,
46,0.8233417868614197,0.12249755859375,0.8478474020957947,
47,0.8353832364082336,0.109375,0.8572643399238586,
48,0.8548335433006287,0.10235595703125,0.8753108382225037,
49,0.8182752728462219,0.110107421875,0.8402937054634094,
50,0.7922488451004028,0.10699462890625,0.8136416673660278,
51,0.7416024804115295,0.1007080078125,0.7617440819740295,
52,0.6968193054199219,0.10369873046875,0.7175559997558594,
53,0.5479463338851929,0.0955810546875,0.5670655965805054,
54,0.7997070550918579,0.09625244140625,0.8189636468887329,
55,0.4894070625305176,0.0936279296875,0.5081295967102051,
56,0.5260169506072998,0.089599609375,0.5439307689666748,
57,0.4366168975830078,0.07598876953125,0.4518146514892578,
58,0.6715160608291626,0.08062744140625,0.6876446008682251,
59,0.847164511680603,0.08331298828125,0.863827109336853,
60,0.49517762660980225,0.088623046875,0.5129083395004272,
61,0.7333146333694458,0.08404541015625,0.7501298189163208,
62,0.33607494831085205,0.0823974609375,0.35255444049835205,
63,0.4981500208377838,0.0855712890625,0.5152703523635864,
64,0.4269208610057831,0.07061767578125,0.44104287028312683,
65,1.1579599380493164,0.08636474609375,1.1752328872680664,
66,0.6341976523399353,0.0941162109375,0.6530269980430603,
67,0.8128280639648438,0.0865478515625,0.8301315307617188,
68,0.5918771028518677,0.09588623046875,0.6110574007034302,
69,0.714497983455658,0.09136962890625,0.732778012752533,
70,0.8741034865379333,0.08721923828125,0.8915442824363708,
71,0.7190536260604858,0.0926513671875,0.7375777959823608,
72,0.8967088460922241,0.09625244140625,0.9159654378890991,
73,0.4928329885005951,0.07611083984375,0.5080536603927612,
74,1.3011995553970337,0.0904541015625,1.3192964792251587,
75,0.4936105012893677,0.0732421875,0.5082589387893677,
76,0.8449071645736694,0.08349609375,0.8616002798080444,
77,1.3306453227996826,0.09344482421875,1.3493373394012451,
78,0.4587843716144562,0.0828857421875,0.4753554165363312,
79,0.5913300514221191,0.082763671875,0.6078858375549316,
80,1.0404568910598755,0.0968017578125,1.059820294380188,
81,0.6375477910041809,0.0831298828125,0.6541798710823059,
82,1.2790346145629883,0.09649658203125,1.2983369827270508,
83,0.5781380534172058,0.0941162109375,0.5969673991203308,
84,0.5334267020225525,0.0731201171875,0.5480522513389587,
85,1.050833821296692,0.08868408203125,1.068564534187317,
86,0.8622740507125854,0.0762939453125,0.8775328397750854,
87,0.5375381708145142,0.086181640625,0.5547806024551392,
88,0.863030731678009,0.090087890625,0.8810513615608215,
89,1.1915051937103271,0.09600830078125,1.2107007503509521,
90,0.8305360674858093,0.0914306640625,0.8488160967826843,
91,0.35182681679725647,0.0794677734375,0.36772647500038147,
92,0.6803337335586548,0.0855712890625,0.6974540948867798,
93,0.9387697577476501,0.07501220703125,0.9537691473960876,
94,0.813666820526123,0.08837890625,0.831336498260498,
95,1.421549916267395,0.08648681640625,1.43885338306427,
96,0.4331100583076477,0.07061767578125,0.44723206758499146,
