step,task_loss,bias_loss,total_loss,sps
0,19.69896697998047,0.1368408203125,19.726341247558594,
1,18.504228591918945,0.135498046875,18.531328201293945,
2,16.65970230102539,0.12548828125,16.684803009033203,
3,18.082237243652344,0.1455078125,18.11133575439453,
4,15.280686378479004,0.1322021484375,15.307129859924316,
5,9.897178649902344,0.1392822265625,9.925041198730469,
6,10.344364166259766,0.141845703125,10.372730255126953,
7,6.173803806304932,0.1549072265625,6.204779148101807,
8,2.9223501682281494,0.1312255859375,2.9485952854156494,
9,2.1874444484710693,0.1556396484375,2.2185723781585693,
10,2.20550537109375,0.1424560546875,2.2339935302734375,
11,2.1288602352142334,0.1357421875,2.156005620956421,
12,2.173224449157715,0.1363525390625,2.2004919052124023,
13,2.416640520095825,0.126708984375,2.4419853687286377,
14,1.7851046323776245,0.1529541015625,1.815698504447937,
15,1.8892701864242554,0.14306640625,1.9178804159164429,
16,1.6997615098953247,0.1326904296875,1.7262965440750122,
17,1.7086865901947021,0.1419677734375,1.7370831966400146,
18,1.868593454360962,0.1337890625,1.895357370376587,
19,1.4911736249923706,0.1298828125,1.5171440839767456,
20,1.6298668384552002,0.118896484375,1.6536400318145752,
21,1.2235130071640015,0.12646484375,1.2488120794296265,
22,1.118312954902649,0.12127685546875,1.142574429512024,
23,1.6401393413543701,0.116943359375,1.6635310649871826,
24,1.8028208017349243,0.10992431640625,1.8248087167739868,
25,1.1972545385360718,0.117431640625,1.2207378149032593,
26,1.038831353187561,0.11309814453125,1.061444878578186,
27,1.4621540307998657,0.119140625,1.4859882593154907,
28,1.5514601469039917,0.11468505859375,1.5743941068649292,
29,1.0818939208984375,0.11541748046875,1.10498046875,
30,1.090020775794983,0.12469482421875,1.114953637123108,
31,1.2604411840438843,0.1304931640625,1.2865337133407593,
32,1.35991632938385,0.123779296875,1.384666085243225,
33,1.5010713338851929,0.12152099609375,1.5253785848617554,
34,0.974549412727356,0.10272216796875,0.995087742805481,
35,1.4290658235549927,0.1029052734375,1.4496499300003052,
36,1.008913516998291,0.10308837890625,1.0295281410217285,
37,0.894432544708252,0.1058349609375,0.9155964851379395,
38,1.4626046419143677,0.1107177734375,1.4847451448440552,
39,1.0155948400497437,0.09716796875,1.0350345373153687,
40,0.8269890546798706,0.1065673828125,0.8483055830001831,
41,1.2738429307937622,0.10797119140625,1.2954341173171997,
42,1.0223935842514038,0.10675048828125,1.0437406301498413,
43,0.7623800039291382,0.1212158203125,0.7866262197494507,
44,1.270111322402954,0.11737060546875,1.293579339981079,
45,1.2306032180786133,0.11529541015625,1.2536592483520508,
46,0.5770071744918823,0.0946044921875,0.5959280729293823,
47,0.5896051526069641,0.0853271484375,0.6066644787788391,
48,1.1556285619735718,0.11370849609375,1.1783641576766968,
49,1.190205454826355,0.10943603515625,1.21208655834198,
50,0.7230479121208191,0.08551025390625,0.7401530146598816,
51,0.738957941532135,0.1026611328125,0.75949627161026,
52,0.5790244936943054,0.095947265625,0.5982200503349304,
53,0.6680623888969421,0.10272216796875,0.6886007189750671,
54,0.6015800833702087,0.1083984375,0.6232628226280212,
55,0.8719780445098877,0.09368896484375,0.8907158374786377,
56,0.39876261353492737,0.104248046875,0.41960611939430237,
57,0.7500949501991272,0.087158203125,0.7675204873085022,
58,0.7859298586845398,0.0909423828125,0.8041183352470398,
59,0.5481144785881042,0.07666015625,0.5634495615959167,
60,0.6991276144981384,0.08135986328125,0.7153934836387634,
