step,task_loss,bias_loss,total_loss,sps
0,21.3629207611084,0.1468505859375,21.43634605407715,
1,19.550479888916016,0.126953125,19.613956451416016,
2,20.64195442199707,0.1453857421875,20.71464729309082,
3,18.433589935302734,0.14794921875,18.507564544677734,
4,14.279311180114746,0.1356201171875,14.347121238708496,
5,12.24753189086914,0.146484375,12.32077407836914,
6,8.69155502319336,0.1427001953125,8.76290512084961,
7,5.175434589385986,0.1275634765625,5.239216327667236,
8,3.218834161758423,0.135009765625,3.286339044570923,
9,2.2798895835876465,0.1392822265625,2.3495306968688965,
10,2.0647287368774414,0.150390625,2.1399240493774414,
11,2.138056993484497,0.1356201171875,2.205867052078247,
12,2.4482760429382324,0.136962890625,2.5167574882507324,
13,2.2255940437316895,0.1312255859375,2.2912068367004395,
14,1.9161970615386963,0.1357421875,1.9840681552886963,
15,2.11087965965271,0.1441650390625,2.18296217918396,
16,2.073556900024414,0.12060546875,2.133859634399414,
17,2.1702399253845215,0.1171875,2.2288336753845215,
18,1.6456029415130615,0.11456298828125,1.7028844356536865,
19,1.9817025661468506,0.1253662109375,2.0443856716156006,
20,1.4696214199066162,0.1298828125,1.5345628261566162,
21,1.4005141258239746,0.11932373046875,1.4601759910583496,
22,1.471334457397461,0.128173828125,1.535421371459961,
23,1.538246750831604,0.1219482421875,1.599220871925354,
24,1.5135934352874756,0.1160888671875,1.5716378688812256,
25,1.6990450620651245,0.1217041015625,1.7598971128463745,
26,1.1672999858856201,0.12420654296875,1.2294032573699951,
27,1.7875875234603882,0.127197265625,1.8511861562728882,
28,1.6383063793182373,0.11480712890625,1.6957099437713623,
29,1.2049016952514648,0.1075439453125,1.2586736679077148,
30,1.0451812744140625,0.10736083984375,1.0988616943359375,
31,1.321837067604065,0.10797119140625,1.37582266330719,
32,1.2918041944503784,0.1005859375,1.3420971632003784,
33,1.3492482900619507,0.1123046875,1.4054006338119507,
34,1.2150901556015015,0.1075439453125,1.2688621282577515,
35,1.0987321138381958,0.11395263671875,1.1557084321975708,
36,1.037945032119751,0.11114501953125,1.093517541885376,
37,0.7708700299263,0.12115478515625,0.831447422504425,
38,0.6386048793792725,0.1142578125,0.6957337856292725,
39,1.0012742280960083,0.1160888671875,1.0593186616897583,
40,0.9515293836593628,0.11285400390625,1.0079563856124878,
41,0.9638695120811462,0.10699462890625,1.017366886138916,
42,1.8639997243881226,0.11175537109375,1.9198774099349976,
43,1.00333833694458,0.0880126953125,1.04734468460083,
44,0.7442663311958313,0.09722900390625,0.7928808331489563,
45,1.5107500553131104,0.11395263671875,1.5677263736724854,
46,1.383800983428955,0.10638427734375,1.43699312210083,
47,1.176481008529663,0.10772705078125,1.230344533920288,
48,0.4559156894683838,0.0899658203125,0.5008985996246338,
49,1.1018574237823486,0.10345458984375,1.1535847187042236,
50,0.8043695092201233,0.0904541015625,0.8495965600013733,
51,0.9375320076942444,0.09417724609375,0.9846206307411194,
52,0.7143455147743225,0.09130859375,0.7599998116493225,
53,0.7468318343162537,0.0987548828125,0.7962092757225037,
54,0.9436981081962585,0.0870361328125,0.9872161746025085,
55,1.092693567276001,0.103759765625,1.144573450088501,
56,0.956792950630188,0.091796875,1.002691388130188,
57,0.9254931807518005,0.10308837890625,0.9770373702049255,
58,0.8489319086074829,0.09344482421875,0.8956543207168579,
59,0.7981126308441162,0.08447265625,0.8403489589691162,
60,0.4934711158275604,0.07568359375,0.5313129425048828,
61,1.2907975912094116,0.10015869140625,1.3408769369125366,
62,0.5416907072067261,0.08587646484375,0.5846289396286011,
63,0.8236891627311707,0.081787109375,0.8645827174186707,
64,0.6267083287239075,0.08837890625,0.6708977818489075,
65,0.764378011226654,0.087890625,0.808323323726654,
66,0.8639875054359436,0.08734130859375,0.9076581597328186,
67,0.5779770612716675,0.0732421875,0.6145981550216675,
68,0.814428448677063,0.08477783203125,0.856817364692688,
69,0.6418257355690002,0.08331298828125,0.6834822297096252,
70,0.41346850991249084,0.06683349609375,0.44688525795936584,
71,0.7819730043411255,0.07952880859375,0.8217374086380005,
72,0.6997676491737366,0.077880859375,0.7387080788612366,
73,0.9251657128334045,0.07489013671875,0.9626107811927795,
74,0.6336925625801086,0.06658935546875,0.6669872403144836,
75,0.4416615068912506,0.06500244140625,0.4741627275943756,
76,0.6712878346443176,0.083984375,0.7132800221443176,
77,0.5342442393302917,0.07379150390625,0.5711399912834167,
78,0.35012948513031006,0.0626220703125,0.38144052028656006,
79,0.4240104556083679,0.0712890625,0.4596549868583679,
80,0.6577965021133423,0.0716552734375,0.6936241388320923,
81,0.9719493985176086,0.07415771484375,1.0090281963348389,
82,0.6081041693687439,0.06610107421875,0.6411547064781189,
83,0.4744051992893219,0.058013916015625,0.503412127494812,
